Province(Chinese)	City(Chinese)	Province(English)	City(English)
湖南	株洲	Hunan	Zhuzhou
湖南	永州	Hunan	Yongzhou
湖南	湘潭	Hunan	Xiangtan
湖南	郴州	Hunan	Luzhou
湖南	湘西	Hunan	Xiangxi
湖南	张家界	Hunan	Zhangjiajie
安徽	合肥	Anhui	Hefei
安徽	阜阳	Anhui	Fuyang
安徽	安庆	Anhui	Anqing
安徽	亳州	Anhui	Luzhou
安徽	马鞍山	Anhui	Maanshan
安徽	蚌埠	Anhui	Bengbu
安徽	铜陵	Anhui	Tongling
安徽	芜湖	Anhui	Wuhu
安徽	六安	Anhui	Lu'an
安徽	宿州	Anhui	Suzhou
安徽	黄山	Anhui	Huangshan
安徽	淮南	Anhui	Huainan
安徽	宿松	Anhui	Sumatsu
安徽	滁州	Anhui	Luzhou
安徽	淮北	Anhui	Huaibei
安徽	池州	Anhui	Chizhou
安徽	宣城	Anhui	Xuancheng
江西	南昌	Jiangxi	Nanchang
江西	九江	Jiangxi	Jiujiang
江西	新余	Jiangxi	Xinyu
江西	赣州	Jiangxi	Ganzhou
江西	宜春	Jiangxi	Yichun
江西	抚州	Jiangxi	Fuzhou
江西	上饶	Jiangxi	Shangrao
江西	吉安	Jiangxi	Gian
江西	萍乡	Jiangxi	Pingxiang
江西	鹰潭	Jiangxi	Yingtan
江西	景德镇	Jiangxi	Jingdezhen
四川	成都	Sichuan	Chengdu
四川	广安	Sichuan	Guang'an
四川	南充	Sichuan	Nanchong
四川	绵阳	Sichuan	Mianyang
四川	内江	Sichuan	Neijiang
四川	达州	Sichuan	Dazhou
四川	自贡	Sichuan	Zigong
四川	巴中	Sichuan	Bazhong
四川	德阳	Sichuan	Deyang
四川	宜宾	Sichuan	Yibin
四川	攀枝花	Sichuan	Panzhihua
四川	遂宁	Sichuan	Suining
四川	雅安	Sichuan	Yaan
四川	泸州	Sichuan	Luzhou
四川	甘孜州	Sichuan	Ganzi Prefecture
四川	凉山州	Sichuan	Liangshan Prefecture
四川	乐山	Sichuan	Leshan
四川	眉山	Sichuan	Meishan
四川	资阳	Sichuan	Ziyang
四川	广元	Sichuan	Guangyuan
四川	阿坝州	Sichuan	Aba
山东	威海	Shandong	Weihai
山东	临沂	Shandong	Linyi
山东	青岛	Shandong	Qingdao
山东	烟台	Shandong	Yantai
山东	济南	Shandong	Jinan
山东	德州	Shandong	Texas
山东	枣庄	Shandong	Zaozhuang
山东	济宁	Shandong	Jining
山东	日照	Shandong	sunshine
山东	淄博	Shandong	Zibo
山东	潍坊	Shandong	Weifang
山东	滨州	Shandong	Binzhou
山东	聊城	Shandong	Liaocheng
山东	菏泽	Shandong	Heze
山东	泰安	Shandong	Taian
江苏	苏州	Jiangsu	Suzhou
江苏	南京	Jiangsu	Nanjing
江苏	徐州	Jiangsu	Xuzhou
江苏	泰州	Jiangsu	Taizhou
江苏	常州	Jiangsu	Changzhou
江苏	连云港	Jiangsu	Lianyungang
江苏	无锡	Jiangsu	Wuxi
江苏	扬州	Jiangsu	Yangzhou
江苏	盐城	Jiangsu	Yancheng
江苏	南通	Jiangsu	Nantong
江苏	淮安	Jiangsu	Huaian
江苏	宿迁	Jiangsu	Suqian
江苏	镇江	Jiangsu	Zhenjiang
福建	福州	Fujian	Fuzhou
福建	莆田	Fujian	Putian
福建	泉州	Fujian	Quanzhou
福建	厦门	Fujian	Xiamen
福建	漳州	Fujian	Zhangzhou
福建	三明	Fujian	Sanming
福建	宁德	Fujian	Ningde
福建	南平	Fujian	Nanping
福建	龙岩	Fujian	Longyan
陕西	西安	Shanxi	Xi'an
陕西	安康	Shanxi	Ankang
陕西	汉中	Shaanxi	Hanzhong
陕西	咸阳	Shaanxi	Xianyang
陕西	延安	Shaanxi	Yan'an
陕西	宝鸡	Shaanxi	Baoji
陕西	铜川	Shaanxi	Tongchuan
陕西	渭南	Shaanxi	Weinan
陕西	商洛	Shaanxi	Shangluo
陕西	榆林	Shaanxi	Yulin
陕西	韩城	Shaanxi	Hancheng
广西	北海	Guangxi	North Sea
广西	桂林	Guangxi	Guilin
广西	南宁	Guangxi	Nanning
广西	柳州	Guangxi	Liuzhou
广西	防城港	Guangxi	Fangchenggang
广西	河池	Guangxi	Hechi
广西	梧州	Guangxi	Wuzhou
广西	玉林	Guangxi	Yulin
广西	百色	Guangxi	Baise
广西	钦州	Guangxi	Qinzhou
广西	贺州	Guangxi	Hezhou
河北	沧州	Hebei	Cangzhou
河北	石家庄	Hebei	Shijiazhuang
河北	保定	Hebei	Baoding
河北	廊坊	Hebei	Langfang
河北	邯郸	Hebei	Handan
河北	邢台	Hebei	Xingtai
河北	唐山	Hebei	Tangshan
河北	张家口	Hebei	Zhangjiakou
河北	衡水	Hebei	Hengshui
河北	承德	Hebei	Chengde
河北	秦皇岛	Hebei	Qinhuangdao
云南	昆明	Yunnan	Kunming
云南	西双版纳	Yunnan	Xishuangbanna
云南	保山	Yunnan	Baoshan
云南	玉溪	Yunnan	Yuxi
云南	丽江	Yunnan	Lijiang
云南	大理	Yunnan	Dali
云南	昭通	Yunnan	Zhaotong
云南	曲靖	Yunnan	Qujing
云南	红河	Yunnan	Honghe
云南	普洱	Yunnan	Pu'er
云南	德宏	Yunnan	Dehong
云南	临沧	Yunnan	Lincang
黑龙江	哈尔滨	Heilongjiang	Harbin
黑龙江	绥化	Heilongjiang	Suihua
黑龙江	佳木斯	Heilongjiang	Jiamusi
黑龙江	大庆	Heilongjiang	Daqing
黑龙江	牡丹江	Heilongjiang	Mudanjiang
黑龙江	七台河	Heilongjiang	Qitaihe
黑龙江	鸡西	Heilongjiang	Jixi
黑龙江	齐齐哈尔	Heilongjiang	Qiqihar
黑龙江	双鸭山	Heilongjiang	Shuangyashan
黑龙江	大兴安岭	Heilongjiang	Daxinganling
黑龙江	鹤岗	Heilongjiang	Hegang
辽宁	沈阳	Liaoning	Shenyang
辽宁	大连	Liaoning	Dalian
辽宁	盘锦	Liaoning	Panjin
辽宁	锦州	Liaoning	Jinzhou
辽宁	朝阳	Liaoning	Chaoyang
辽宁	丹东	Liaoning	Dandong
辽宁	葫芦岛	Liaoning	Huludao
辽宁	本溪	Liaoning	Benxi
辽宁	铁岭	Liaoning	Tieling
辽宁	阜新	Liaoning	Fuxin
辽宁	营口	Liaoning	Yingkou
辽宁	辽阳	Liaoning	Liaoyang
辽宁	鞍山	Liaoning	Anshan
海南	三亚	Hainan	Sanya
海南	海口	Hainan	Haikou
海南	万宁	Hainan	Wanning
海南	儋州	Hainan	Luzhou
海南	琼海	Hainan	Qionghai
海南	陵水	Hainan	Lingshui
海南	临高	Hainan	Lingao
海南	澄迈	Hainan	Chengmai
海南	东方	Hainan	Dongfang
海南	琼州	Hainan	Qiongzhou
海南	定安	Hainan	Ding'an
海南	昌江	Hainan	Changjiang
海南	乐东	Hainan	Ledong
山西	晋中	Shanxi	Jinzhong
山西	运城	Shanxi	Yuncheng
山西	大同	Shanxi	Datong
山西	吕梁	Shanxi	Luliang
山西	太原	Shanxi	Taiyuan
山西	长治	Shanxi	Changzhi
山西	朔州	Shanxi	Shuozhou
山西	晋城	Shanxi	Jincheng
山西	阳泉	Shanxi	Yangquan
山西	临汾	Shanxi	Linfen
山西	忻州	Shanxi	Xinzhou
甘肃	兰州	Gansu	Lanzhou
甘肃	陇南	Gansu	Longnan
甘肃	天水	Gansu	Tianshui
甘肃	定西	Gansu	Dingxi
甘肃	临夏	Gansu	Linxia
甘肃	张掖	Gansu	Zhangye
甘肃	白银	Gansu	Baiyin
甘肃	金昌	Gansu	Jinchang
甘肃	平凉	Gansu	Pingliang
甘肃	甘南	Gansu	Gannan
贵州	六盘水	Guizhou	Liupanshui
贵州	黔南州	Guizhou	Qiannan Prefecture
贵州	贵阳	Guizhou	Guiyang
贵州	遵义	Guizhou	Zunyi
贵州	铜仁	Guizhou	Tongren
贵州	毕节	Guizhou	Bijie
贵州	黔东南州	Guizhou	Qiandongnan Prefecture
贵州	黔西南州	Guizhou	Qianxinan Prefecture
宁夏	银川	Ningxia	Yinchuan
宁夏	吴中	Ningxia	Wuzhong
宁夏	中卫	Ningxia	Zhongwei
宁夏	固原	Ningxia	Guyuan
宁夏	宁东管委会	Ningxia	Ningdong
内蒙古	鄂尔多斯	Inner Mongolia	Ordos
内蒙古	包头	Inner Mongolia	Baotou
内蒙古	巴彦淖尔	Inner Mongolia	Bayannur
内蒙古	呼和浩特	Inner Mongolia	Hohhot
内蒙古	呼伦贝尔	Inner Mongolia	Hulunbuir
内蒙古	锡林郭勒盟	Inner Mongolia	Xilingol League
内蒙古	赤峰	Inner Mongolia	Chifeng
内蒙古	乌兰察布	Inner Mongolia	Ulanchabu
内蒙古	兴安盟	Inner Mongolia	Xing'an League
内蒙古	通辽	Inner Mongolia	Tongliao
新疆	乌鲁木齐	Xinjiang	Urumqi
新疆	伊犁州	Xinjiang	Ili
新疆	吐鲁番	Xinjiang	Turpan
新疆	第七师	Xinjiang	Seventh division
新疆	第八师	Xinjiang	Eighth Division
新疆	阿克苏	Xinjiang	Aksu
新疆	第九师	Xinjiang	Ninth division
吉林	长春	Jilin	Changchun
吉林	吉林	Jilin	Jilin
吉林	松原	Jilin	Matsubara
吉林	延边	Jilin	Yanbian
吉林	四平	Jilin	Siping
吉林	公主岭	Jilin	Gongzhuling
吉林	通化	Jilin	Tonghua
青海	西宁	Qinghai	Xining
北京	NA	Beijing	NA
上海	NA	Shanghai	NA
天津	NA	Tianjin	NA
重庆	NA	Chongqing	NA
西藏	拉萨	Tibet	Lhasa
西藏	山南	Tibet	Shannan
西藏	日喀则	Tibet	Shigatse
西藏	昌都	Tibet	Chamdo
西藏	林芝	Tibet	Nyingchi
西藏	那曲	Tibet	Nagqu
